1, 1, TIM-SOUTHEE, ALEX-LEES, L, 80.161, 1.86, 0.45, 0.30, 0.29, -4.29, -0.01, 0, 0.000, 0.000, 17:16:43, 2022/06/11, -0.724572, 8.618991, -10.839461, -3.652528, P, D, 1.067089, 2.072267, -4.844016, 2.067223, -0.582324
1, 2, TIM-SOUTHEE, ALEX-LEES, L, 79.886, 5.55, 0.76, 0.39, 0.72, -2.93, -0.91, 2, 121.000, 26.000, 17:17:13, 2022/06/11, -0.679342, 8.495097, -11.544451, -6.385109, P, A, 1.010663, 2.047411, -4.401826, 2.882149, -0.316745
1, 3, TIM-SOUTHEE, ALEX-LEES, L, 82.367, 6.31, 0.42, -0.08, 0.84, -3.33, 0.12, 0, 0.000, 0.000, 17:17:52, 2022/06/11, -0.718001, 8.672657, -11.606752, -7.155870, P, D, 0.968665, 2.022571, -5.506635, 3.176108, -0.327235
1, 4, TIM-SOUTHEE, ALEX-LEES, L, 82.251, 2.41, 0.19, -0.00, 0.33, -3.75, 0.25, 0, 0.000, 0.000, 17:18:26, 2022/06/11, -0.687450, 7.660504, -10.558555, -4.172035, P, D, 0.910651, 2.057178, -4.514545, 2.422003, -0.481681
1, 5, TIM-SOUTHEE, ALEX-LEES, L, 80.500, 5.15, 0.30, 0.11, 0.70, -1.25, 0.97, 0, 0.000, 0.000, 17:18:56, 2022/06/11, -0.736660, 8.651686, -11.066854, -6.233146, P, D, 0.849363, 2.028064, -1.623767, 3.305412, -0.118576
1, 6, TIM-SOUTHEE, ALEX-LEES, L, 80.534, 6.21, 0.38, 0.01, 0.78, -2.60, 0.69, 0, 0.000, 0.000, 17:19:34, 2022/06/11, -0.670057, 8.455515, -11.784920, -6.968741, P, D, 0.911373, 2.030533, -3.973936, 2.944677, -0.252861
2, 1, TRENT-BOULT, ZAK-CRAWLEY, R, 78.976, 8.09, -0.33, -0.83, 1.02, 0.91, -0.03, 0, 0.000, 0.000, 17:21:00, 2022/06/11, -0.669179, 8.860920, -12.857075, -8.486974, N, N, 0.344438, 1.990497, 2.276350, 2.746190, 0.107442
2, 2, TRENT-BOULT, ZAK-CRAWLEY, R, 80.712, 7.80, -0.22, -0.60, 1.05, 0.16, 0.84, 0, 0.000, 0.000, 17:21:34, 2022/06/11, -0.699093, 8.930700, -12.442012, -8.366108, N, N, 0.415684, 2.004622, 0.857668, 3.117024, 0.040214
2, 3, TRENT-BOULT, ZAK-CRAWLEY, R, 80.264, 6.56, -0.25, -0.35, 0.95, 2.82, 0.81, 0, 0.000, 0.000, 17:22:06, 2022/06/11, -0.744830, 9.151620, -11.762544, -7.022586, N, N, 0.386187, 2.012215, 5.456240, 2.668991, 0.319773
2, 4, TRENT-BOULT, ZAK-CRAWLEY, R, 82.173, 5.98, -0.23, -0.33, 0.80, 3.36, 0.54, 4, 73.000, -127.000, 17:22:40, 2022/06/11, -0.692307, 8.443364, -11.544756, -6.341657, P, A, 0.455707, 1.997657, 6.203919, 2.136316, 0.395884
